Rk,year,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
138,2024-2025,Lize Kop,nl NED,GK,Leicester City,26,1998,2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
139,2024-2025,Lize Kop,nl NED,GK,Tottenham,26,1998,12,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
140,2024-2025,Kathrine Kühl,dk DEN,MF,Arsenal,21,2003,0.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
141,2024-2025,Hayley Ladd,wls WAL,MF,Manchester Utd,30,1993,0.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
142,2024-2025,Hayley Ladd,wls WAL,MF,Everton,30,1993,6.3,0,2,1,50,0.32,0.16,0,0,26.6,0,0,0,0.1,0.1,0.05,'-0.1,'-0.1,Matches
143,2024-2025,Clarissa Larisey,ca CAN,FW,Crystal Palace,25,1999,5.4,0,4,0,0,0.74,0,0,Unknown,14,0,0,0,0.3,0.3,0.07,'-0.3,'-0.3,Matches
144,2024-2025,Abbie Larkin,ie IRL,"MF,FW",Crystal Palace,19,2005,7.9,1,7,3,42.9,0.89,0.38,0.14,0.33,20.4,0,0,0,0.8,0.8,0.12,0.2,0.2,Matches
145,2024-2025,Nelly Las,eng ENG,FW,Leicester City,16,2007,3,0,8,3,37.5,2.65,0.99,0,0,15,0,0,0,0.3,0.3,0.04,'-0.3,'-0.3,Matches
146,2024-2025,Melissa Lawley,eng ENG,"MF,FW",Everton,30,1994,5.6,0,4,3,75,0.71,0.53,0,0,19,0,0,0,0.4,0.4,0.1,'-0.4,'-0.4,Matches
147,2024-2025,Ashley Lawrence,ca CAN,DF,Chelsea,29,1995,10.8,1,6,2,33.3,0.55,0.18,0.17,0.5,17.7,0,0,0,0.8,0.8,0.14,0.2,0.2,Matches
148,2024-2025,Rachael Laws,eng ENG,GK,Liverpool,33,1990,15,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
149,2024-2025,Naomi Layzell,eng ENG,DF,Manchester City,20,2004,4.5,0,3,1,33.3,0.67,0.22,0,0,8.8,0,0,0,0.3,0.3,0.11,'-0.3,'-0.3,Matches
150,2024-2025,Maya Le Tissier,eng ENG,DF,Manchester Utd,22,2002,22,3,7,2,28.6,0.32,0.09,0.14,0.5,24.4,1,2,2,1.8,0.3,0.05,1.2,0.7,Matches
151,2024-2025,Janina Leitzig,de GER,GK,Leicester City,25,1999,20,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
152,2024-2025,Adriana Leon,ca CAN,FW,Aston Villa,31,1992,4.8,3,13,9,69.2,2.68,1.86,0.23,0.33,17,0,0,0,1.7,1.7,0.13,1.3,1.3,Matches
153,2024-2025,Kim Little,sct SCO,MF,Arsenal,34,1990,13.4,1,7,2,28.6,0.52,0.15,0.14,0.5,17.6,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
154,2024-2025,Melina Loeck,de GER,GK,Brighton,24,2000,8,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
155,2024-2025,Vicky Losada,es ESP,MF,Brighton,33,1991,13.5,1,12,4,33.3,0.89,0.3,0.08,0.25,19.1,1,0,0,1.5,1.5,0.12,'-0.5,'-0.5,Matches
156,2024-2025,Sofie Lundgaard,dk DEN,MF,Liverpool,22,2002,0.8,0,2,0,0,2.61,0,0,Unknown,16.1,0,0,0,0.1,0.1,0.04,'-0.1,'-0.1,Matches
157,2024-2025,Frida Maanum,no NOR,"MF,FW",Arsenal,25,1999,14.5,7,57,19,33.3,3.94,1.31,0.12,0.37,16.6,0,0,0,6.1,6.1,0.11,0.9,0.9,Matches
158,2024-2025,Catarina Macario,us USA,"MF,FW",Chelsea,24,1999,8.8,6,34,13,38.2,3.86,1.48,0.15,0.38,17.6,6,1,1,4,3.3,0.1,2,1.7,Matches
159,2024-2025,Ruby Mace,eng ENG,"MF,FW",Leicester City,20,2003,13.4,0,16,5,31.3,1.19,0.37,0,0,30.4,0,0,0,0.9,0.9,0.06,'-0.9,'-0.9,Matches
160,2024-2025,Rikke Madsen,dk DEN,"FW,MF",Everton,26,1997,1.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
161,2024-2025,Milla-Maj Majasaari,fi FIN,GK,Crystal Palace,24,1999,3,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
162,2024-2025,Melvine Malard,fr FRA,"FW,MF",Manchester Utd,24,2000,7,4,24,9,37.5,3.41,1.28,0.17,0.44,12.4,0,0,0,4.7,4.7,0.2,'-0.7,'-0.7,Matches
163,2024-2025,Rachel Maltby,eng ENG,DF,Aston Villa,17,2007,0.5,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
164,2024-2025,Aoife Mannion,ie IRL,DF,Manchester Utd,28,1995,3.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
165,2024-2025,Noelle Maritz,ch SUI,DF,Aston Villa,28,1995,15.8,0,4,0,0,0.25,0,0,Unknown,8.3,0,0,0,0.5,0.5,0.12,'-0.5,'-0.5,Matches
166,2024-2025,Shekiera Martinez,de GER,"FW,MF",West Ham,23,2001,9.9,10,31,15,48.4,3.15,1.52,0.32,0.67,14.7,0,0,0,5.3,5.3,0.17,4.7,4.7,Matches
167,2024-2025,Aisha Masaka,tz TAN,FW,Brighton,20,2003,0,0,1,0,0,22.5,0,0,Unknown,12.8,0,0,0,0.1,0.1,0.09,'-0.1,'-0.1,Matches
168,2024-2025,Jasmine Matthews,eng ENG,DF,Liverpool,31,1993,10.8,1,7,2,28.6,0.65,0.19,0.14,0.5,11.3,0,0,0,1.3,1.3,0.19,'-0.3,'-0.3,Matches
169,2024-2025,Sarah Mayling,eng ENG,DF,Aston Villa,27,1997,7.2,0,2,1,50,0.28,0.14,0,0,22.8,0,0,0,0,0,0.02,0,0,Matches
170,2024-2025,Katie McCabe,ie IRL,DF,Arsenal,28,1995,18.5,1,17,9,52.9,0.92,0.49,0.06,0.11,21.6,4,0,0,0.8,0.8,0.05,0.2,0.2,Matches
171,2024-2025,Rachel McLauchlan,sct SCO,"DF,MF",Brighton,27,1997,12.1,1,4,2,50,0.33,0.17,0.25,0.5,16.5,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
172,2024-2025,Beth Mead,eng ENG,"FW,MF",Arsenal,29,1995,13.4,7,27,12,44.4,2.02,0.9,0.26,0.58,13.6,1,0,0,4.1,4.1,0.16,2.9,2.9,Matches
173,2024-2025,Li Mengwen,cn CHN,"DF,MF",West Ham,29,1995,8.5,0,3,1,33.3,0.35,0.12,0,0,17.5,0,0,0,0.2,0.2,0.07,'-0.2,'-0.2,Matches
174,2024-2025,Kristie Mewis,us USA,MF,West Ham,33,1991,0.5,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
175,2024-2025,Teagan Micah,au AUS,GK,Liverpool,26,1997,7,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
176,2024-2025,Vivianne Miedema,nl NED,"MF,FW",Manchester City,28,1996,7.8,7,39,17,43.6,4.99,2.17,0.18,0.41,15.2,0,0,0,4.4,4.4,0.11,2.6,2.6,Matches
177,2024-2025,Hinata Miyazawa,jp JPN,MF,Manchester Utd,24,1999,13.3,1,17,7,41.2,1.28,0.53,0.06,0.14,19.4,0,0,0,1.5,1.5,0.09,'-0.5,'-0.5,Matches
178,2024-2025,Maren Mjelde,no NOR,DF,Everton,34,1989,5,1,1,1,100,0.2,0.2,1,1,10.7,0,0,0,0,0,0.01,1,1,Matches
179,2024-2025,Yuka Momiki,jp JPN,MF,Leicester City,28,1996,18.2,3,20,7,35,1.1,0.38,0.15,0.43,20.1,1,0,1,2.4,1.7,0.08,0.6,1.3,Matches
180,2024-2025,Ella Morris,eng ENG,DF,Tottenham,21,2002,10.4,1,14,5,35.7,1.35,0.48,0.07,0.2,19.8,0,0,0,1.5,1.5,0.11,'-0.5,'-0.5,Matches
181,2024-2025,Noémie Mouchon,fr FRA,FW,Leicester City,21,2003,2.6,0,5,1,20,1.9,0.38,0,0,22.9,0,0,0,0.4,0.4,0.07,'-0.4,'-0.4,Matches
182,2024-2025,Maelys Mpomé,fr FRA,DF,Chelsea,21,2003,1.9,0,2,1,50,1.03,0.52,0,0,11.1,0,0,0,0.2,0.2,0.12,'-0.2,'-0.2,Matches
183,2024-2025,Lily Murphy,eng ENG,"FW,MF",Manchester City,18,2006,4.1,0,12,3,25,2.96,0.74,0,0,16.4,0,0,0,0.9,0.9,0.08,'-0.9,'-0.9,Matches
184,2024-2025,Lisa Naalsund,no NOR,MF,Manchester Utd,29,1995,4.4,0,1,0,0,0.23,0,0,Unknown,9.8,0,0,0,0,0,0.03,0,0,Matches
185,2024-2025,Fūka Nagano,jp JPN,MF,Liverpool,25,1999,17,1,9,5,55.6,0.53,0.29,0.11,0.2,21.5,0,0,0,0.9,0.9,0.11,0.1,0.1,Matches
186,2024-2025,Jessica Naz,eng ENG,"FW,MF",Tottenham,23,2000,17.3,2,27,12,44.4,1.56,0.69,0.07,0.17,17.9,0,0,0,2.9,2.9,0.13,'-0.9,'-0.9,Matches
187,2024-2025,Ashleigh Neville,eng ENG,DF,Tottenham,31,1993,19.1,0,11,0,0,0.58,0,0,Unknown,23.5,0,0,0,0.4,0.4,0.03,'-0.4,'-0.4,Matches
188,2024-2025,Courtney Nevin,au AUS,DF,Leicester City,22,2002,8.5,0,2,0,0,0.24,0,0,Unknown,26.7,1,0,0,0.1,0.1,0.04,'-0.1,'-0.1,Matches
189,2024-2025,Jenna Nighswonger,us USA,DF,Arsenal,23,2000,1.9,0,1,1,100,0.53,0.53,0,0,24.2,0,0,0,0,0,0.02,0,0,Matches
190,2024-2025,Amanda Nildén,se SWE,DF,Tottenham,25,1998,14.1,1,7,2,28.6,0.5,0.14,0.14,0.5,24.5,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
191,2024-2025,Jordan Nobbs,eng ENG,MF,Aston Villa,31,1992,17,1,28,9,32.1,1.64,0.53,0.04,0.11,23.3,1,0,0,1.6,1.6,0.06,'-0.6,'-0.6,Matches
192,2024-2025,Hayley Nolan,ie IRL,DF,Crystal Palace,27,1997,9.5,0,1,0,0,0.1,0,0,Unknown,10.7,0,0,0,0,0,0.02,0,0,Matches
193,2024-2025,Nadine Noordam,nl NED,"MF,DF",Brighton,26,1998,5.5,0,7,1,14.3,1.28,0.18,0,0,16,0,0,0,0.5,0.5,0.07,'-0.5,'-0.5,Matches
194,2024-2025,Aniek Nouwen,nl NED,DF,Crystal Palace,25,1999,4,1,4,1,25,1,0.25,0.25,1,12,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
195,2024-2025,Sjoeke Nüsken,de GER,MF,Chelsea,23,2001,16.9,2,45,8,17.8,2.66,0.47,0.04,0.25,12.4,0,0,0,6.1,6.1,0.14,'-4.1,'-4.1,Matches
196,2024-2025,Eva Nyström,fi FIN,DF,West Ham,24,1999,6,0,6,2,33.3,1,0.33,0,0,12.3,0,0,0,0.2,0.2,0.04,'-0.2,'-0.2,Matches
197,2024-2025,Karoline Olesen,dk DEN,"MF,FW",Everton,19,2005,9.2,0,2,0,0,0.22,0,0,Unknown,11.5,0,0,0,0.3,0.3,0.16,'-0.3,'-0.3,Matches
198,2024-2025,Ria Öling,fi FIN,"MF,DF",Crystal Palace,29,1994,2.4,0,1,0,0,0.41,0,0,Unknown,7,0,0,0,0.1,0.1,0.12,'-0.1,'-0.1,Matches
199,2024-2025,Marisa Olislagers,nl NED,"DF,MF",Brighton,23,2000,15.4,2,10,3,30,0.65,0.19,0.2,0.67,18.4,0,0,0,0.9,0.9,0.09,1.1,1.1,Matches
200,2024-2025,Maite Oroz,es ESP,MF,Tottenham,26,1998,11.4,0,11,2,18.2,0.96,0.18,0,0,20.8,0,0,0,0.7,0.7,0.06,'-0.7,'-0.7,Matches
201,2024-2025,Leila Ouahabi,es ESP,DF,Manchester City,31,1993,16.7,0,14,3,21.4,0.84,0.18,0,0,19.9,0,0,0,0.8,0.8,0.06,'-0.8,'-0.8,Matches
202,2024-2025,Aemu Ōyama,jp JPN,MF,Manchester City,19,2004,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
203,2024-2025,Eve O`Carroll,ie IRL,MF,Manchester City,17,2007,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
204,2024-2025,Shannon O’Brien,eng ENG,FW,Leicester City,22,2001,7.1,3,10,5,50,1.41,0.71,0.3,0.6,15.4,0,0,0,1.5,1.5,0.15,1.5,1.5,Matches
205,2024-2025,Mayumi Pacheco,eng ENG,DF,Aston Villa,25,1998,5.4,1,9,3,33.3,1.67,0.56,0.11,0.33,18.3,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
206,2024-2025,Jessica Park,eng ENG,"MF,FW",Manchester City,22,2001,17.3,5,31,14,45.2,1.79,0.81,0.16,0.36,16.8,0,0,0,4.6,4.6,0.15,0.4,0.4,Matches
207,2024-2025,Lucy Parker,eng ENG,DF,Aston Villa,25,1998,13.7,1,6,3,50,0.44,0.22,0.17,0.33,12.1,0,0,0,0.6,0.6,0.11,0.4,0.4,Matches
208,2024-2025,Nikita Parris,eng ENG,FW,Brighton,30,1994,20.6,7,50,17,34,2.43,0.83,0.14,0.41,12.2,0,0,0,7.1,7.1,0.14,'-0.1,'-0.1,Matches
209,2024-2025,Lucy Parry,eng ENG,"DF,MF",Liverpool,20,2004,7.4,0,2,2,100,0.27,0.27,0,0,21.6,0,0,0,0.2,0.2,0.09,'-0.2,'-0.2,Matches
210,2024-2025,Anna Patten,ie IRL,DF,Aston Villa,25,1999,20.4,2,10,5,50,0.49,0.25,0.2,0.4,11.6,0,0,0,1.2,1.2,0.12,0.8,0.8,Matches
211,2024-2025,Poppy Pattinson,eng ENG,"DF,MF",Brighton,24,2000,17,0,9,5,55.6,0.53,0.29,0,0,18.6,0,0,0,0.4,0.4,0.05,'-0.4,'-0.4,Matches
212,2024-2025,Manuela Paví,co COL,"MF,FW",West Ham,23,2000,8.6,2,14,5,35.7,1.63,0.58,0.14,0.4,15.4,0,0,0,2.7,2.7,0.19,'-0.7,'-0.7,Matches
213,2024-2025,Heather Payne,ie IRL,"DF,MF",Everton,24,2000,12.3,0,5,2,40,0.41,0.16,0,0,20.5,0,0,0,0.3,0.3,0.06,'-0.3,'-0.3,Matches
214,2024-2025,Toni Payne,ng NGA,FW,Everton,29,1995,15.2,1,18,6,33.3,1.19,0.4,0.06,0.17,16.2,0,0,0,2.4,2.4,0.13,'-1.4,'-1.4,Matches
215,2024-2025,Emilia Pelgander,se SWE,MF,Leicester City,20,2004,0.6,0,1,1,100,1.76,1.76,0,0,14.8,0,0,0,0.1,0.1,0.11,'-0.1,'-0.1,Matches
216,2024-2025,Victoria Pelova,nl NED,MF,Arsenal,25,1999,1.5,1,5,3,60,3.31,1.99,0.2,0.33,12.1,0,0,0,0.8,0.8,0.16,0.2,0.2,Matches
217,2024-2025,Ève Périsset,fr FRA,"DF,MF",Chelsea,29,1994,0.6,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
218,2024-2025,Seraina Piubel,ch SUI,"MF,FW",West Ham,24,2000,15.5,1,22,8,36.4,1.42,0.52,0.05,0.13,15.6,0,0,0,2.8,2.8,0.13,'-1.8,'-1.8,Matches
219,2024-2025,Alexia Potter,eng ENG,MF,Crystal Palace,17,2006,17.7,0,7,1,14.3,0.4,0.06,0,0,24.1,0,0,0,0.5,0.5,0.07,'-0.5,'-0.5,Matches
220,2024-2025,Gracie Prior,eng ENG,DF,Manchester City,19,2004,8.4,1,2,1,50,0.24,0.12,0.5,1,18.2,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
221,2024-2025,Poppy Pritchard,eng ENG,"FW,MF",Crystal Palace,18,2005,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
222,2024-2025,Mayra Ramírez,co COL,FW,Chelsea,25,1999,11.5,4,36,16,44.4,3.13,1.39,0.11,0.25,13.6,0,0,0,3,3,0.08,1,1,Matches
223,2024-2025,Emily Ramsey,eng ENG,GK,Everton,23,2000,1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
224,2024-2025,Jutta Rantala,fi FIN,FW,Leicester City,24,1999,3,1,7,3,42.9,2.33,1,0.14,0.33,16.9,0,0,0,1,1,0.14,0,0,Matches
225,2024-2025,Hayley Raso,au AUS,"FW,MF",Tottenham,29,1994,9.3,1,21,8,38.1,2.26,0.86,0.05,0.13,18.2,0,0,0,1.5,1.5,0.07,'-0.5,'-0.5,Matches
226,2024-2025,Rebecca Rayner,eng ENG,MF,Brighton,24,1999,0.4,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
227,2024-2025,Katie Reid,eng ENG,DF,Arsenal,17,2006,1.5,0,1,0,0,0.67,0,0,Unknown,28.3,0,0,0,0.1,0.1,0.06,'-0.1,'-0.1,Matches
228,2024-2025,Guro Reiten,no NOR,"FW,MF",Chelsea,30,1994,12.1,8,26,8,30.8,2.14,0.66,0.19,0.63,18,0,3,4,5.9,2.9,0.11,2.1,2.1,Matches
229,2024-2025,Louna Ribadeira,fr FRA,"MF,FW",Everton,19,2004,0.4,0,1,0,0,2.37,0,0,Unknown,17.4,0,0,0,0,0,0.02,0,0,Matches
230,2024-2025,Indiah-Paige Riley,nz NZL,"DF,FW",Crystal Palace,22,2001,9.1,2,10,5,50,1.09,0.55,0.2,0.4,16.8,0,0,0,1.1,1.1,0.11,0.9,0.9,Matches
231,2024-2025,Jayde Riviere,ca CAN,DF,Manchester Utd,23,2001,15.8,0,2,1,50,0.13,0.06,0,0,28.3,0,0,0,0.1,0.1,0.04,'-0.1,'-0.1,Matches
232,2024-2025,Katie Robinson,eng ENG,"FW,MF",Aston Villa,21,2002,6,0,6,2,33.3,1.01,0.34,0,0,18.9,0,0,0,0.6,0.6,0.09,'-0.6,'-0.6,Matches
233,2024-2025,Sophie Román Haug,no NOR,FW,Liverpool,25,1999,11.4,3,15,6,40,1.32,0.53,0.2,0.5,13.4,0,0,0,1.5,1.5,0.1,1.5,1.5,Matches
234,2024-2025,Jill Roord,nl NED,MF,Manchester City,27,1997,14.2,5,47,17,36.2,3.3,1.19,0.11,0.29,14.1,0,0,0,6.5,6.5,0.14,'-1.5,'-1.5,Matches
235,2024-2025,Rusul Rosa Kafaji,se SWE,"MF,FW",Arsenal,21,2003,1.5,1,8,3,37.5,5.41,2.03,0.13,0.33,15.3,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
236,2024-2025,Deanne Rose,ca CAN,"FW,MF",Leicester City,25,1999,4.5,0,3,1,33.3,0.66,0.22,0,0,14.2,0,0,0,0.2,0.2,0.06,'-0.2,'-0.2,Matches
237,2024-2025,Charlize Rule,au AUS,"DF,MF",Brighton,21,2003,0.1,1,1,1,100,6.92,6.92,1,1,10.8,0,0,0,0.1,0.1,0.08,0.9,0.9,Matches
238,2024-2025,Alessia Russo,eng ENG,FW,Arsenal,25,1999,18.7,12,72,31,43.1,3.85,1.66,0.15,0.35,13.5,0,1,1,9.5,8.7,0.12,2.5,2.3,Matches
239,2024-2025,Josefine Rybrink,se SWE,"DF,MF",Tottenham,26,1998,5.2,0,3,0,0,0.58,0,0,Unknown,11,0,0,0,0.4,0.4,0.13,'-0.4,'-0.4,Matches
240,2024-2025,Johanna Rytting Kaneryd,se SWE,"FW,MF",Chelsea,27,1997,16.3,4,46,16,34.8,2.82,0.98,0.09,0.25,14.6,0,0,0,5.8,5.8,0.13,'-1.8,'-1.8,Matches
241,2024-2025,Camila Sáez,cl CHI,DF,West Ham,29,1994,6.1,0,4,2,50,0.65,0.33,0,0,18.7,2,0,0,0.3,0.3,0.07,'-0.3,'-0.3,Matches
242,2024-2025,Lydia Sallaway,eng ENG,DF,Aston Villa,17,2007,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
243,2024-2025,Ebony Salmon,eng ENG,"FW,MF",Aston Villa,23,2001,9.4,4,29,11,37.9,3.09,1.17,0.14,0.36,18,0,0,0,2,2,0.07,2,2,Matches
244,2024-2025,Anna Sandberg,se SWE,DF,Manchester Utd,21,2003,4.8,0,4,0,0,0.84,0,0,Unknown,17.2,0,0,0,0.2,0.2,0.05,'-0.2,'-0.2,Matches
245,2024-2025,Veatriki Sarri,gr GRE,"FW,MF",Everton,26,1998,8.6,2,22,8,36.4,2.55,0.93,0.09,0.25,20,2,0,0,2,2,0.09,0,0,Matches
246,2024-2025,Kiko Seike,jp JPN,"FW,MF",Brighton,27,1996,13.5,6,38,16,42.1,2.81,1.18,0.16,0.38,15.6,0,0,0,5,5,0.13,1,1,Matches
247,2024-2025,Molly Sharpe,eng ENG,"DF,MF",Crystal Palace,26,1998,8.1,0,10,3,30,1.24,0.37,0,0,16.1,0,0,0,1,1,0.1,'-1,'-1,Matches
248,2024-2025,Khadija Shaw,jm JAM,FW,Manchester City,27,1997,9.9,12,52,21,40.4,5.25,2.12,0.23,0.57,12.9,0,0,0,8.3,8.3,0.16,3.7,3.7,Matches
249,2024-2025,Zara Shaw,eng ENG,MF,Liverpool,17,2007,2,0,1,0,0,0.51,0,0,Unknown,28.3,0,0,0,0,0,0.02,0,0,Matches
250,2024-2025,Simone Sherwood,eng ENG,"FW,MF",Leicester City,17,2007,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
251,2024-2025,Hannah Silcock,eng ENG,"DF,MF",Liverpool,19,2004,2.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
252,2024-2025,Oona Siren,fi FIN,MF,West Ham,23,2001,17.5,0,13,6,46.2,0.74,0.34,0,0,16.1,0,0,0,2.3,2.3,0.18,'-2.3,'-2.3,Matches
253,2024-2025,Kirsty Smith,sct SCO,DF,West Ham,30,1994,7.2,0,3,2,66.7,0.41,0.28,0,0,20.7,0,0,0,0.1,0.1,0.04,'-0.1,'-0.1,Matches
254,2024-2025,Olivia Smith,ca CAN,FW,Liverpool,19,2004,17.4,7,49,14,28.6,2.81,0.8,0.12,0.43,19.4,2,1,1,4.6,3.8,0.08,2.4,2.2,Matches
255,2024-2025,Katja Snoeijs,nl NED,"FW,MF",Everton,27,1996,17.6,4,26,8,30.8,1.47,0.45,0.12,0.38,14.4,0,1,1,4.7,4,0.15,'-0.7,'-1,Matches
256,2024-2025,Drew Spence,jm JAM,MF,Tottenham,31,1992,17.3,3,31,13,41.9,1.79,0.75,0.1,0.23,18,1,0,0,2.4,2.4,0.08,0.6,0.6,Matches
257,2024-2025,Rebecca Spencer,jm JAM,GK,Tottenham,33,1991,8,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
258,2024-2025,Lucy Staniforth,eng ENG,MF,Aston Villa,31,1992,7.8,0,5,2,40,0.64,0.26,0,0,25.4,0,0,0,0.2,0.2,0.03,'-0.2,'-0.2,Matches
259,2024-2025,Dejana Stefanović,rs SRB,MF,Brighton,27,1997,1.4,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
260,2024-2025,Elise Stenevik,no NOR,DF,Everton,24,1999,10.5,0,2,0,0,0.19,0,0,Unknown,10.3,0,0,0,0.4,0.4,0.2,'-0.4,'-0.4,Matches
261,2024-2025,Katie Stengel,us USA,FW,Crystal Palace,32,1992,18.5,4,36,14,38.9,1.94,0.76,0.08,0.21,16.7,0,1,1,5.5,4.8,0.14,'-1.5,'-1.8,Matches
262,2024-2025,Eveliina Summanen,fi FIN,MF,Tottenham,26,1998,15.4,2,8,2,25,0.52,0.13,0.13,0.5,29.9,4,1,1,1.1,0.4,0.04,0.9,0.6,Matches
263,2024-2025,Allyson Swaby,jm JAM,DF,Crystal Palace,27,1996,7.5,0,1,1,100,0.13,0.13,0,0,7.5,0,0,0,0,0,0.05,0,0,Matches
264,2024-2025,Chantelle Swaby,jm JAM,DF,Leicester City,25,1998,5.9,0,4,1,25,0.68,0.17,0,0,16.9,0,0,0,0.2,0.2,0.05,'-0.2,'-0.2,Matches
265,2024-2025,Maisie Symonds,eng ENG,"MF,DF",Brighton,21,2003,12.5,0,9,2,22.2,0.72,0.16,0,0,28.6,2,0,0,0.4,0.4,0.04,'-0.4,'-0.4,Matches
266,2024-2025,Kinga Szemik,pl POL,GK,West Ham,27,1997,22,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
267,2024-2025,Saori Takarada,jp JPN,"MF,FW",Leicester City,24,1999,9.6,1,3,1,33.3,0.31,0.1,0.33,1,17.2,0,0,0,0.7,0.7,0.24,0.3,0.3,Matches
268,2024-2025,Katelin Talbert,us USA,GK,Aston Villa,25,1998,0.4,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
269,2024-2025,Miri Taylor,eng ENG,"MF,DF",Aston Villa,24,2000,7.3,0,4,2,50,0.55,0.27,0,0,27.8,0,0,0,0.1,0.1,0.03,'-0.1,'-0.1,Matches
270,2024-2025,Elisabeth Terland,no NOR,FW,Manchester Utd,23,2001,17.4,10,65,25,38.5,3.74,1.44,0.15,0.4,13.6,0,0,0,9.6,9.6,0.15,0.4,0.4,Matches
271,2024-2025,Julie Thibaud,fr FRA,DF,Leicester City,26,1998,16.6,1,9,1,11.1,0.54,0.06,0.11,1,10.3,0,0,0,0.9,0.9,0.1,0.1,0.1,Matches
272,2024-2025,Codie Thomas,eng ENG,DF,Manchester City,17,2006,0.2,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
273,2024-2025,Lauren Thomas,eng ENG,DF,Everton,Unknown,Unknown,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
274,2024-2025,Martha Thomas,sct SCO,"FW,MF",Tottenham,28,1996,13.5,0,28,12,42.9,2.08,0.89,0,0,14.3,0,0,0,4.4,4.4,0.16,'-4.4,'-4.4,Matches
275,2024-2025,Maria Thorisdottir,no NOR,DF,Brighton,31,1993,12.2,0,6,1,16.7,0.49,0.08,0,0,14.7,0,0,0,0.6,0.6,0.1,'-0.6,'-0.6,Matches
276,2024-2025,Samantha Tierney,eng ENG,MF,Leicester City,25,1998,14.8,1,6,2,33.3,0.41,0.14,0.17,0.5,19.2,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches
277,2024-2025,Paula Tomás,es ESP,DF,Aston Villa,22,2001,9.9,0,11,2,18.2,1.11,0.2,0,0,15.3,0,0,0,0.6,0.6,0.06,'-0.6,'-0.6,Matches
